Title,Authors
Acceptance and Commitment Therapy Among Informal Caregivers of People With Chronic Health Conditions: A Systematic Review and Meta-Analysis.,"Ye F, Lee JJ, Xue D, Yu DS."
Intervention needs among hotel employees and managers.,"Rosemberg MS, Granner JR, Li WV, Adams M, Militzer MA."
Operational Stress Control Service: An Organizational Program to Support Health Care Worker Well-Being.,"Martindale SL, Shura RD, Cooper MA, Womack SF, Hurley RA, Vair CL, Rowland JA."
Physical training considerations for optimizing performance in essential military tasks.,"Vaara JP, Groeller H, Drain J, Kyröläinen H, Pihlainen K, Ojanen T, Connaboy C, Santtila M, Agostinelli P, Nindl BC."
"Showers, Culture, and Conflict Resolution: A Qualitative Study of Employees' Perceptions of Workplace Wellness Opportunities.","Seward MW, Goldman RE, Linakis SK, Werth P, Roberto CA, Block JP."
Maximising paediatricians' roles in improving children's oral health: lessons from Leicester.,"Murphy J, Moore R."
Is usage of a wellness center associated with improved quality of life?,"Clark MM, Jenkins SM, Limoges KA, Hagen PT, Lackore KA, Harris AM, Werneburg BL, Warren BA, Olsen KD."
Improving health worker performance: an ongoing challenge for meeting the sustainable development goals.,"Rowe AK, Labadie G, Jackson D, Vivas-Torrealba C, Simon J."
Improving movement behavior in office workers: effects of two multi-level cluster-RCT interventions on mental health.,"Larisch LM, Blom V, Hagströmer M, Ekblom M, Ekblom Ö, Nilsson J, Kallings LV."
Editorial Perspective: A call to collective action - improving the implementation of evidence in children and young people's mental health.,"Clarke T, Barwick M."
[Research progress of workplace health promotion].,"Zhao QW, Dai JM."
